,company,Date,Open,High,Low,Close,No. of Shares
5138,BOMDYEING,2023-07-14,111.5500,114.9000,110.7500,113.7500,228431
5139,BOMDYEING,2023-07-13,114.9500,115.7000,110.0000,111.5500,269753
5140,BOMDYEING,2023-07-12,114.6500,115.1500,112.7000,113.8500,325408
5141,BOMDYEING,2023-07-11,110.0000,117.6000,109.4000,113.8500,658107
5142,BOMDYEING,2023-07-10,117.7000,117.7000,108.8500,109.8000,330003
5143,BOMDYEING,2023-07-07,120.2000,120.4500,114.2000,116.4000,531193
5144,BOMDYEING,2023-07-06,123.5500,127.9500,118.6000,119.6000,1111047
5145,BOMDYEING,2023-07-05,109.7000,123.6500,109.4500,122.9000,1889861
5146,BOMDYEING,2023-07-04,108.7000,111.2500,108.0000,110.2000,323451
5147,BOMDYEING,2023-07-03,107.0500,110.8500,106.0000,109.5000,199795
5148,BOMDYEING,2023-06-30,107.8100,110.7000,106.5100,108.4300,324511
5149,BOMDYEING,2023-06-29,105.2500,105.2500,105.2500,105.2500,0
5150,BOMDYEING,2023-06-28,105.3600,110.4800,105.3600,107.6400,449519
5151,BOMDYEING,2023-06-27,105.0100,106.7500,103.7300,105.2500,121280
5152,BOMDYEING,2023-06-26,100.3600,105.4300,99.7200,104.8600,239828
5153,BOMDYEING,2023-06-23,103.8100,105.3600,99.7000,100.3000,252508
5154,BOMDYEING,2023-06-22,104.3000,108.0000,103.1500,105.8900,860184
5155,BOMDYEING,2023-06-21,106.9900,107.9900,103.1500,104.1600,426114
5156,BOMDYEING,2023-06-20,97.0500,107.0000,96.4100,106.5000,844241
5157,BOMDYEING,2023-06-19,99.7900,101.2000,97.0000,97.7000,165092
5158,BOMDYEING,2023-06-16,97.0000,99.8600,97.0000,99.0200,221418
5159,BOMDYEING,2023-06-15,91.2500,98.9100,91.2500,96.0000,434335
5160,BOMDYEING,2023-06-14,92.0000,92.8000,90.2600,92.3300,162833
5161,BOMDYEING,2023-06-13,89.2200,93.2000,89.2200,91.5300,359313
5162,BOMDYEING,2023-06-12,90.0000,92.5000,89.4900,90.1000,244323
5163,BOMDYEING,2023-06-09,88.1600,89.8300,86.2500,89.5700,641135
5164,BOMDYEING,2023-06-08,89.4000,91.7900,88.0800,88.5300,407990
5165,BOMDYEING,2023-06-07,84.0000,90.0000,84.0000,89.4900,454796
5166,BOMDYEING,2023-06-06,84.8400,84.9300,83.4400,83.8700,34789
5167,BOMDYEING,2023-06-05,84.0200,85.7600,84.0200,84.4800,122438
5168,BOMDYEING,2023-06-02,84.0000,84.6500,83.1000,84.0200,51991
5169,BOMDYEING,2023-06-01,83.9900,85.7400,83.1000,83.4900,450750
5170,BOMDYEING,2023-05-31,78.7000,83.6600,78.7000,83.0800,160332
5171,BOMDYEING,2023-05-30,80.8000,81.0400,79.4000,79.6100,27239
5172,BOMDYEING,2023-05-29,80.7800,82.1900,80.4700,80.6500,75810
5173,BOMDYEING,2023-05-26,79.6100,81.3000,79.6100,80.0500,75111
5174,BOMDYEING,2023-05-25,81.6600,81.6900,79.0500,79.6000,40121
5175,BOMDYEING,2023-05-24,82.0000,82.2600,81.4000,81.5400,40038
5176,BOMDYEING,2023-05-23,82.0000,84.0000,81.7000,81.8800,77506
5177,BOMDYEING,2023-05-22,82.0200,83.4300,81.6100,81.9000,55258
5178,BOMDYEING,2023-05-19,83.5000,84.0000,81.5900,82.6500,51077
5179,BOMDYEING,2023-05-18,83.2500,86.5800,83.1000,83.4200,141792
5180,BOMDYEING,2023-05-17,84.1000,85.1200,83.2300,83.4900,108513
5181,BOMDYEING,2023-05-16,86.9000,87.1000,84.3000,84.4900,85657
5182,BOMDYEING,2023-05-15,83.6000,87.5000,83.3500,86.3500,191507
5183,BOMDYEING,2023-05-12,85.0000,85.4800,83.3200,83.6700,47786
5184,BOMDYEING,2023-05-11,85.0000,86.3100,84.7200,84.9600,38170
5185,BOMDYEING,2023-05-10,85.6000,86.6000,84.3000,85.3800,128895
5186,BOMDYEING,2023-05-09,83.5700,86.9000,83.5700,85.7000,253404
5187,BOMDYEING,2023-05-08,80.0100,85.5900,80.0100,84.7800,142969
5188,BOMDYEING,2023-05-05,83.3000,84.3500,81.0000,81.4500,217310
5189,BOMDYEING,2023-05-04,88.0000,88.7500,85.5000,86.1600,146836
5190,BOMDYEING,2023-05-03,86.1200,91.6800,86.1200,88.0900,437574
5191,BOMDYEING,2023-05-02,93.0000,94.4800,89.3000,91.7900,329392
5192,BOMDYEING,2023-04-28,88.4500,93.5000,87.3700,92.0900,313873
5193,BOMDYEING,2023-04-27,90.9200,90.9200,88.3300,88.6700,133883
5194,BOMDYEING,2023-04-26,86.9900,93.0000,84.4500,90.0600,561268
5195,BOMDYEING,2023-04-25,82.0000,89.6400,81.7700,86.7400,696934
5196,BOMDYEING,2023-04-24,81.3000,82.7400,80.9600,81.9500,74946
5197,BOMDYEING,2023-04-21,83.0000,83.2000,80.8400,81.3000,93043
5198,BOMDYEING,2023-04-20,84.6600,84.9500,83.0000,83.2200,69162
5199,BOMDYEING,2023-04-19,84.1500,85.4000,83.4000,84.0700,82125
5200,BOMDYEING,2023-04-18,83.2200,85.6600,83.2200,84.2500,194467
5201,BOMDYEING,2023-04-17,77.5000,84.9900,77.5000,83.2200,230550
5202,BOMDYEING,2023-04-13,79.7500,80.8000,76.5000,77.6200,209408
5203,BOMDYEING,2023-04-12,74.4400,79.9700,73.8600,79.2000,410878
5204,BOMDYEING,2023-04-11,70.1900,74.7500,69.2600,74.0700,430097
5205,BOMDYEING,2023-04-10,64.1000,71.3400,64.1000,69.8300,369560
5206,BOMDYEING,2023-04-06,65.1900,65.1900,64.0000,64.7500,67124
5207,BOMDYEING,2023-04-05,60.2600,65.4500,60.2000,65.0100,157767
5208,BOMDYEING,2023-04-04,60.1200,60.1200,60.1200,60.1200,0
5209,BOMDYEING,2023-04-03,57.4900,60.5000,57.0000,60.1200,123321
5210,BOMDYEING,2023-03-31,58.4700,58.9600,56.6000,56.8000,118450
5211,BOMDYEING,2023-03-29,54.8800,57.0700,53.4400,56.5100,248950
5212,BOMDYEING,2023-03-28,56.2500,56.5000,53.3700,54.0100,161909
5213,BOMDYEING,2023-03-27,59.0200,59.0200,55.0500,55.3100,119129
5214,BOMDYEING,2023-03-24,60.9200,61.0500,58.8000,59.0200,259584
5215,BOMDYEING,2023-03-23,61.5000,61.6900,60.3200,60.7600,97617
5216,BOMDYEING,2023-03-22,61.8400,62.3100,61.2000,61.3400,44992
5217,BOMDYEING,2023-03-21,61.1000,62.5400,60.7000,61.5300,92913
5218,BOMDYEING,2023-03-20,62.6400,62.6400,60.4100,61.4700,350965
5219,BOMDYEING,2023-03-17,62.4800,63.8400,61.5500,62.6400,348138
5220,BOMDYEING,2023-03-16,62.1500,62.5000,60.0000,62.0900,418166
5221,BOMDYEING,2023-03-15,63.0100,64.2300,61.7500,62.1500,594430
5222,BOMDYEING,2023-03-14,65.0000,65.1000,63.0000,63.2600,461341
5223,BOMDYEING,2023-03-13,66.7500,67.3800,64.2000,64.6300,573858
5224,BOMDYEING,2023-03-10,68.1500,68.5000,66.8000,67.1700,523837
5225,BOMDYEING,2023-03-09,68.2000,69.6500,67.8000,68.0600,370271
5226,BOMDYEING,2023-03-08,67.1000,68.5000,66.9600,68.1900,344868
5227,BOMDYEING,2023-03-06,66.4000,68.2700,66.4000,67.0600,239174
5228,BOMDYEING,2023-03-03,66.4000,67.1400,66.0000,66.6800,70435
5229,BOMDYEING,2023-03-02,66.9000,67.2400,65.5000,65.6000,67243
5230,BOMDYEING,2023-03-01,66.0000,67.3900,65.8800,66.9200,100891
5231,BOMDYEING,2023-02-28,64.0000,66.9000,62.8000,65.8000,79088
5232,BOMDYEING,2023-02-27,66.7500,67.1500,63.4500,63.9500,202965
5233,BOMDYEING,2023-02-24,68.1500,68.5000,66.4500,67.5000,47801
5234,BOMDYEING,2023-02-23,67.3500,68.4500,67.1000,67.3000,40659
5235,BOMDYEING,2023-02-22,69.6000,69.8000,67.6000,68.2500,53578
5236,BOMDYEING,2023-02-21,70.0500,70.2500,69.1500,69.6000,50506
5237,BOMDYEING,2023-02-20,70.6500,70.9500,69.4000,70.0500,54994
5238,BOMDYEING,2023-02-17,71.4000,72.0500,69.9000,70.1500,51299
5239,BOMDYEING,2023-02-16,69.2000,72.0000,68.8000,71.4000,105855
5240,BOMDYEING,2023-02-15,69.1500,69.7500,68.3500,69.2000,100493
5241,BOMDYEING,2023-02-14,70.4500,70.4500,68.7500,69.0000,74321
5242,BOMDYEING,2023-02-13,71.0000,71.4000,69.8000,70.0500,37069
5243,BOMDYEING,2023-02-10,69.9000,71.5500,69.8000,70.7000,55111
5244,BOMDYEING,2023-02-09,72.4500,72.6000,71.1000,71.5500,43872
5245,BOMDYEING,2023-02-08,70.9000,73.0000,70.4000,72.2000,95510
5246,BOMDYEING,2023-02-07,71.0500,71.7000,70.1000,70.6000,60251
5247,BOMDYEING,2023-02-06,71.0000,71.9000,70.3500,71.3500,68074
5248,BOMDYEING,2023-02-03,71.9500,72.5000,70.5500,71.4000,71728
5249,BOMDYEING,2023-02-02,71.0000,72.3500,71.0000,71.6000,40896
5250,BOMDYEING,2023-02-01,73.6500,74.7500,70.2000,71.1500,102795
5251,BOMDYEING,2023-01-31,72.1500,73.4000,72.0500,73.1500,106924
5252,BOMDYEING,2023-01-30,72.7500,73.3500,71.1000,71.8500,105163
5253,BOMDYEING,2023-01-27,73.5000,74.0000,71.0000,72.9500,130763
5254,BOMDYEING,2023-01-25,74.9500,74.9500,73.2500,73.9000,41448
5255,BOMDYEING,2023-01-24,76.4000,76.5000,73.7000,74.0500,81542
5256,BOMDYEING,2023-01-23,76.5000,76.6000,75.4500,75.7000,32107
5257,BOMDYEING,2023-01-20,76.9500,77.4000,75.9500,76.1500,31510
5258,BOMDYEING,2023-01-19,76.8000,77.3500,76.6000,76.7500,46794
5259,BOMDYEING,2023-01-18,78.0000,78.4000,77.3500,77.6000,46638
5260,BOMDYEING,2023-01-17,78.0500,78.5500,76.5500,77.8500,87856
5261,BOMDYEING,2023-01-16,78.2000,79.0000,77.5000,78.0500,36524
5262,BOMDYEING,2023-01-13,78.3500,79.0000,77.5000,78.2000,50499
5263,BOMDYEING,2023-01-12,79.5000,80.0000,78.2500,78.9000,63144
5264,BOMDYEING,2023-01-11,80.1500,80.6000,79.0000,79.3500,64993
5265,BOMDYEING,2023-01-10,78.6500,81.7500,77.7500,80.1500,162302
5266,BOMDYEING,2023-01-09,77.9000,78.2500,76.7500,77.5500,54375
5267,BOMDYEING,2023-01-06,79.0000,79.0000,76.6500,77.0500,106372
5268,BOMDYEING,2023-01-05,78.5500,79.2000,77.8000,78.6500,53080
5269,BOMDYEING,2023-01-04,80.7000,80.7500,78.5000,78.8500,64955
5270,BOMDYEING,2023-01-03,80.5000,81.0500,79.9000,80.2000,56729
5271,BOMDYEING,2023-01-02,79.0000,80.6500,78.9000,79.8000,69789
5272,BOMDYEING,2022-12-30,78.9500,80.9000,78.6000,79.2500,90122
5273,BOMDYEING,2022-12-29,78.0000,78.3500,77.4000,78.1500,67768
5274,BOMDYEING,2022-12-28,77.6500,79.4000,77.6500,78.5500,65003
5275,BOMDYEING,2022-12-27,78.9000,79.6500,77.5000,78.0500,51037
5276,BOMDYEING,2022-12-26,74.2500,78.5000,74.2500,77.6500,182874
5277,BOMDYEING,2022-12-23,77.9000,77.9000,73.8000,74.4000,124178
5278,BOMDYEING,2022-12-22,80.5000,80.7500,76.9000,78.4000,95331
5279,BOMDYEING,2022-12-21,81.5500,82.7000,79.8000,80.0500,112606
5280,BOMDYEING,2022-12-20,82.2000,82.9500,81.3500,81.9500,91101
5281,BOMDYEING,2022-12-19,82.9500,83.2000,81.4000,82.7500,103851
5282,BOMDYEING,2022-12-16,83.6500,83.9500,81.8500,82.1500,111194
5283,BOMDYEING,2022-12-15,84.0500,85.0000,82.8000,83.2500,115112
5284,BOMDYEING,2022-12-14,84.7000,86.1000,84.3000,84.9000,158685
5285,BOMDYEING,2022-12-13,82.9000,85.9000,82.2500,85.1000,281220
5286,BOMDYEING,2022-12-12,82.0000,82.8000,81.2000,82.2500,54123
5287,BOMDYEING,2022-12-09,83.9000,84.4500,81.6500,82.6000,91828
5288,BOMDYEING,2022-12-08,83.6000,84.8500,83.6000,83.9000,65103
